ZIP Code,City
85318,Glendale
85320,Aguila
85321,Ajo
85322,Arlington
85323,Avondale
85324,Black
85325,Bouse
85326,Buckeye
85327,Cave
85328,Cibola
85329,Cashion
85331,Cave
85332,Congress
85333,Dateland
85334,Ehrenberg
85335,El
85336,San
85337,Gila
85338,Goodyear
85339,Laveen
85340,Litchfield
85341,Lukeville
85342,Morristown
85343,Palo
85344,Parker
85345,Peoria
85346,Quartzsite
85347,Roll
85348,Salome
85349,San
85350,Somerton
85351,Sun
85352,Tacna
85353,Tolleson
85354,Tonopah
85355,Waddell
85356,Wellton
85357,Wenden
85358,Wickenburg
85359,Quartzsite
85360,Wikieup
85361,Wittmann
85362,Yarnell
85363,Youngtown
85364,Yuma
85365,Yuma
85366,Yuma
85367,Yuma
85369,Yuma
85371,Poston
85372,Sun
85373,Sun
85374,Surprise
85375,Sun
85376,Sun
85377,Carefree
85378,Surprise
85379,Surprise
85380,Peoria
85381,Peoria
85382,Peoria
85383,Peoria
85385,Peoria
85387,Surprise
85388,Surprise
85390,Wickenburg
85392,Avondale
85395,Goodyear
85396,Buckeye
85501,Globe
85502,Globe
85530,Bylas
85531,Central
85532,Claypool
85533,Clifton
85534,Duncan
85535,Eden
85536,Fort
85539,Miami
85540,Morenci
85541,Payson
85542,Peridot
85543,Pima
85544,Pine
85545,Roosevelt
85546,Safford
85547,Payson
85548,Safford
85550,San
85551,Solomon
85552,Thatcher
85553,Tonto
85554,Young
85601,Arivaca
85602,Benson
85603,Bisbee
85605,Bowie
85606,Cochise
85607,Douglas
85608,Douglas
85609,Dragoon
85610,Elfrida
85611,Elgin
85613,Fort
85614,Green
85615,Hereford
85616,Huachuca
85617,Mc
85618,Mammoth
85619,Mount
85620,Naco
85621,Nogales
85622,Green
85623,Oracle
85624,Patagonia
85625,Pearce
85626,Pirtleville
85627,Pomerene
85628,Nogales
85629,Sahuarita
85630,Saint
85631,San
85632,San
85633,Sasabe
85634,Sells
85635,Sierra
85636,Sierra
85637,Sonoita
85638,Tombstone
85639,Topawa
85640,Tumacacori
85641,Vail
85643,Willcox
85644,Willcox
85645,Amado
85646,Tubac
85648,Rio
85650,Sierra
85652,Cortaro
85653,Marana
85654,Rillito
85655,Douglas
85658,Marana
85670,Fort
85671,Sierra
85701,Tucson
85702,Tucson
85703,Tucson
85704,Tucson
85705,Tucson
85706,Tucson
85707,Tucson
85708,Tucson
85709,Tucson
85710,Tucson
85711,Tucson
85712,Tucson
85713,Tucson
85714,Tucson
85715,Tucson
85716,Tucson
85717,Tucson
85718,Tucson
85719,Tucson
85720,Tucson
85721,Tucson
85722,Tucson
85723,Tucson
85724,Tucson
85725,Tucson
85726,Tucson
85728,Tucson
85730,Tucson
85731,Tucson
85732,Tucson
85733,Tucson
85734,Tucson
85735,Tucson
85736,Tucson
85737,Tucson
85738,Catalina
85739,Tucson
85740,Tucson
85741,Tucson
85742,Tucson
85743,Tucson
85744,Tucson
85745,Tucson
85746,Tucson
85747,Tucson
85748,Tucson
85749,Tucson
85750,Tucson
85751,Tucson
85752,Tucson
85754,Tucson
85755,Tucson
85756,Tucson
85757,Tucson
85775,Tucson
85901,Show
85902,Show
85911,Cibecue
85912,White
85920,Alpine
85922,Blue
85923,Clay
85924,Concho
85925,Eagar
85926,Fort
85927,Greer
85928,Heber
85929,Lakeside
85930,Mcnary
85931,Forest
85932,Nutrioso
85933,Overgaard
85934,Pinedale
85935,Pinetop
85936,Saint
85937,Snowflake
85938,Springerville
85939,Taylor
85940,Vernon
85941,Whiteriver
85942,Woodruff
86001,Flagstaff
86002,Flagstaff
86003,Flagstaff
86004,Flagstaff
86005,Flagstaff
86011,Flagstaff
86015,Bellemont
86016,Gray
86017,Munds
86018,Parks
86020,Cameron
86021,Colorado
86022,Fredonia
86023,Grand
86024,Happy
86025,Holbrook
86028,Petrified
86029,Sun
86030,Hotevilla
86031,Indian
86032,Joseph
86033,Kayenta
86034,Keams
86035,Leupp
86036,Marble
86038,Mormon
86039,Kykotsmovi
86040,Page
86042,Polacca
86043,Second
86044,Tonalea
86045,Tuba
86046,Williams
86047,Winslow
86052,North
86053,Kaibeto
86054,Shonto
86301,Prescott
86302,Prescott
86303,Prescott
86304,Prescott
86305,Prescott
86312,Prescott
86313,Prescott
86314,Prescott
86315,Prescott
86320,Ash
86321,Bagdad
86322,Camp
86323,Chino
86324,Clarkdale
86325,Cornville
86326,Cottonwood
86327,Dewey
86329,Humboldt
86331,Jerome
86332,Kirkland
86333,Mayer
86334,Paulden
86335,Rimrock
86336,Sedona
86337,Seligman
86338,Skull
86339,Sedona
86340,Sedona
86341,Sedona
86342,Lake
86343,Crown
86351,Sedona
86401,Kingman
86402,Kingman
86403,Lake
86404,Lake
86405,Lake
86406,Lake
86409,Kingman
86411,Hackberry
86412,Hualapai
86413,Golden
86426,Fort
86427,Fort
86429,Bullhead
86430,Bullhead
86431,Chloride
86432,Littlefield
86433,Oatman
86434,Peach
86435,Supai
86436,Topock
86437,Valentine
86438,Yucca
86439,Bullhead
86440,Mohave
86441,Dolan
86442,Bullhead
86443,Temple
86444,Meadview
86445,Willow
86446,Mohave
86502,Chambers
86503,Chinle
86504,Fort
86505,Ganado
86506,Houck
86507,Lukachukai
86508,Lupton
86510,Pinon
86511,Saint
86512,Sanders
86514,Teec
86515,Window
86520,Blue
86535,Dennehotso
86538,Many
86540,Nazlini
86544,Red
86545,Rock
86547,Round
86556,Tsaile
